task,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
t06,embodiment_diverse_scaling,0.5643854309663864,0.2555918207868969,0.25511577496252774,0.2715634712389033,0.2642876141640043,0.31859481635119924,0.1458753019898606,0.6028871721831277,0.4051538084105594,0.05601941493385101,0.3159595730591299,0.11105152300613483,0.34262258106467497,0.4979814311712829,2548039680
t06,latency_safety_guarded,0.7302336462530112,0.6117414766447578,0.26767718545011654,0.24066067366364752,0.10585627361049413,0.08550653190136999,0.21671192658899696,0.6028871721831277,0.1818502913164751,0.13216519487580447,0.14161560620504351,0.35185022024576523,0.3411610021899973,0.262251893880344,2548039680
t06,oracle_bottleneck_router,0.9990298286175021,1.0,0.20927811155470696,0.020810451730358826,0.011272213977184815,0.0,0.006986913166025436,0.6028871721831277,0.0,0.2018113066666639,0.0,0.6770417088020151,0.42875221685333115,0.0,2548039680
t06,regime_aware_router,0.883827978676175,0.8854526869084963,0.23359241302669656,0.10956679992527853,0.09924066402653205,0.0732511649844197,0.088168681368967,0.6028871721831277,0.0951796039411195,0.1715620776563859,0.05613521266328528,0.5419262184121878,0.39040508820854536,0.12053400252335841,2548039680
t06,scale_only_foundation,0.49213056947703926,0.0989758367457449,0.27379464965549327,0.2916212593610611,0.2812985488783488,0.3413886990814233,0.2604135075469482,0.6028871721831277,0.5564911606839721,0.02354984465193726,0.38914382902551004,0.021135769339679693,0.30667847755981925,0.5866335900541788,2548039680
t07,contact_instrumented,0.6519566066862051,0.4433018865478719,0.2748755702956004,0.12755324761302056,0.22274824050891828,0.23178370441463628,0.23032730941212276,0.6070209803074469,0.26254544326243423,0.10017895309706319,0.21565424928875193,0.2511127012734238,0.332331186291534,0.3659013135016824,2548039680
t07,data_scaled_foundation,0.5046500593583338,0.1333505333735137,0.2629702161655158,0.3344320475804792,0.2679202021779449,0.28683733597296046,0.2806502042776115,0.6070209803074469,0.4912244117441879,0.029794624491052454,0.37626466641300327,0.03069519086011804,0.310848662787985,0.5810056814816156,2548039680
t07,embodiment_diverse_scaling,0.5703824953877499,0.26912515321495833,0.2562214381483278,0.31382196064087675,0.2560831010501731,0.2724563448437034,0.16116129233161167,0.6070209803074469,0.4033419335642832,0.05714238854754369,0.31441880262904087,0.11737078612019058,0.34185464483941536,0.4957550996566789,2548039680
t07,latency_safety_guarded,0.7141653953465751,0.578640108624839,0.27138396726947944,0.2795941482228777,0.10347472940813571,0.07334350797183517,0.24212771469975833,0.6070209803074469,0.1989492939288588,0.12488229365465534,0.15856400244610772,0.3295099886721203,0.3373588977868327,0.28690991623693873,2548039680
t07,oracle_bottleneck_router,0.9990272024599942,1.0,0.21204360309682777,0.02036480387011337,0.00923390771119101,0.0,0.008887566118029058,0.6070209803074469,0.0,0.2018113066666639,0.0,0.6810961691726484,0.4277330168533261,0.0,2548039680
t07,regime_aware_router,0.8835635609875617,0.8854742845528565,0.23577565838866393,0.12376515522497014,0.09568573939875008,0.06144630050795765,0.0945136019551124,0.6070209803074469,0.0964375467060041,0.17120336115248513,0.05709890688287927,0.5436850400272538,0.38920609680711327,0.12212705056017248,2548039680
t07,scale_only_foundation,0.4937548129456925,0.1034693462110628,0.2762763537856776,0.33883323692619266,0.2697135606204052,0.291804264472244,0.2896845294891817,0.6070209803074469,0.5603034518750647,0.022805646008420524,0.3919185733203912,0.01928428859675956,0.30520569678968074,0.5906525584232908,2548039680
